시군구,sum
0,3
강남구,27
강동구,8
강북구,5
강서구,3
관악구,6
광진구,11
구로구,9
금천구,2
노원구,3
도봉구,5
동대문구,1
동작구,1
마포구,33
서대문구,8
서초구,26
성동구,10
성북구,11
송파구,15
양천구,8
영등포구,4
용산구,12
은평구,1
종로구,162
중구,38
중랑구,2
