시군구,sum
강남구,27
강동구,3
강북구,5
강서구,5
관악구 ,2
광진구,5
구로구,4
금천구,2
노원구,6
도봉구,2
동대문구,1
동작구,3
마포구,8
서대문구,8
서초구,4
성동구,2
성북구,4
송파구,4
양천구,2
영등포구,5
용산구,4
은평구,4
종로구,12
중구,21
중랑구,3
