SIGNGU_NM,LEGALDONG_NM,sum
은평구,갈현동,2
종로구,관철동,2
구로구,구로동,2
동작구,노량진동,2
강남구,논현동,2
마포구,동교동,6
성북구,동선동1가,4
종로구,동숭동,8
중구,명동2가,2
종로구,명륜2가,2
종로구,명륜4가,1
서초구,반포동,6
관악구,봉천동,2
동작구,사당동,2
송파구,삼전동,1
노원구,상계동,8
마포구,상수동,4
마포구,서교동,72
서초구,서초동,16
강북구,수유동,4
관악구,신림동,12
강남구,신사동,6
마포구,신정동,1
강남구,역삼동,56
마포구,연남동,2
영등포구,영등포동3가,2
종로구,인사동,1
광진구,자양동,12
송파구,잠실동,5
서대문구,창천동,26
강동구,천호동,2
성동구,행당동,2
광진구,화양동,26
동대문구,회기동,2
