시군구,sum
강남구,8
강동구,12
강북구,6
강서구,8
관악구,4
광진구,8
구로구,14
금천구,4
노원구,12
도봉구,6
동대문구,6
동작구,12
마포구 ,20
서초구,4
성동구,6
성북구,2
송파구,9
양천구,6
영등포구,8
용산구,1
중구,1
중랑구,1
