시군구,sum
강남구,64
강동구,2
강북구,4
관악구,14
광진구,38
구로구,2
노원구,8
동대문구,2
동작구,4
마포구,85
서대문구,26
서초구,2
성동구,2
성북구,4
송파구,6
영등포구,2
은평구,2
종로구,14
중구,2
