시군구,sum
강남구,1
강북구,8
강서구,3
관악구,4
금천구,1
노원구,3
도봉구,4
동대문구,2
동작구,2
서대문구,5
서초구,1
성동구,1
성북구,10
은평구,5
종로구,12
